id,title,type,episodes,status,score,rank,popularity,favorites,synopsis,genres,image
1209,Cool Devices,OVA,11.0,Finished Airing,6.2,,7639,24,"Welcome to a series of tapes the likes of which you've never seen before! Strong stories, highly charged with erotic content are all presented without Japan's export censorship (as they were intended to be seen).

They do not follow a single story. They break all the rules. They are Cool Devices. They aren't for kids, but they might be for you if you have the guts. Welcome to a new world... and be sure to wash your hands when you're done.

(Source: Official Site)",Hentai,https://cdn.myanimelist.net/images/anime/1505/103904l.jpg
1210,Yami no Shihoukan Judge,OVA,1.0,Finished Airing,5.39,12980.0,9359,6,"Hoichiro Ohma works in an office. Everybody knows him as a silent, humble man. Even his girlfriend, Nanase, doesn't suspect that he could be something more, but he is. When a person dies as a victim of murder; when someone kills himself with a curse on his lips; when someone's death needs to be judged, he is there, for he is a Judge Of Darkness. Following the Laws Of Darkness, with a book made of human skin and an unusual parrot, he pronounces judgement over living criminals that would otherwise go free.

(Source: ANN)","Horror, Supernatural",https://cdn.myanimelist.net/images/anime/12/66755l.jpg
1211,Violence Jack: Harem Bomber-hen,OVA,1.0,Finished Airing,5.2,13466.0,5949,17,"Kanto Hell Earthquake has demolished the metropolitan completely. After the earthquake, Slum King is kidnapping girls and sell them as sex slaves. Mari is wandering on the devastated field looking for her lover, Ken. But she is also kidnapped by them. While she is tortured and trained as a sex slave, Ken saves her. Ken has become the member of Slum King. The king offers condition to him; in return for releasing her, he has to kill Violence Jack. 

(Source: AniDB)","Action, Drama, Horror",https://cdn.myanimelist.net/images/anime/1152/121840l.jpg
1212,Violence Jack: Jigoku Gai-hen,OVA,1.0,Finished Airing,5.59,12313.0,6268,24,"The World as we know it has been torn apart shattered by a series of natural disasters that have turned civilization into a brutish nightmare of survival and has left whole cities buried beneath the Earth. It's now a lethal and chaotic place, a place where only the strongest and most savage remain alive. The strongest of them all is a giant warrior known as Violence Jack… 

Violence Jack tries to avert a civil war brewing among the wretched inhabitants of a subterranean metropolis called Evil Town. Based on a character created by manga horror specialist, Go Nagai. 

(Source: AniDB)","Action, Drama, Horror",https://cdn.myanimelist.net/images/anime/13/12874l.jpg
1213,Violence Jack: Hell's Wind-hen,OVA,1.0,Finished Airing,5.52,12561.0,6834,10,"The survivors of Kanto's Hell Earthquake built a new city and christened it ""Hope Town"". However, this peaceful town becomes a nightmare when it's raided by the motorcycle gang, ""Hell's Wind"". They abduct the women while the remaining townsfolk are left helpless against them.

Meanwhile, a boy, Subaro, meets Jun. Jun's lover was previously murdered, and the duo help one another to fight against Hell's Wind. The battles are getting more and more difficult, but with the appearance of Violence Jack, the citizens seem to gain the upper hand against Hell's Wind. 

(Source: AniDB)","Action, Drama, Horror",https://cdn.myanimelist.net/images/anime/1/2384l.jpg
1214,Eightman After,OVA,4.0,Finished Airing,6.16,9400.0,8923,8,"Private detective Hazama Itsuru is hired by Professor Tani to investigate a cyborg parts theft which eventually leads him to meet Sachiko Yokogawa, the original 8 Man's love interest. Living her new life working for the Biotecho Corp., Sachiko finds herself involved with a new 8 Man, who appears after Hazama is fatally wounded by an unknow cyborg. Amidst a violent urban background with cyber-junkies creating chaos around the city, this other 8 Man will fight criminals in a more agressive way.","Action, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/1150/92809l.jpg
1215,Soujuu Senshi Psychic Wars,OVA,1.0,Finished Airing,3.17,14445.0,9095,3,"Ukyo Rettsu, a surgeon, treats a mysterous old woman for a mysterious ""cancer."" The growth turns out to be a messenger from the ancient past of Japan heralding a demonic invasion of the Earth. Ukyo must go back in time and fight the race of ancient demons. 

(Source: AniDB)",Action,https://cdn.myanimelist.net/images/anime/1871/144500l.jpg
1216,AD Police,OVA,3.0,Finished Airing,6.25,8859.0,5225,31,"Years before meeting Priscilla Asagiri, Leon McNichol had a violent run-in with a Boomer, a type of advanced android. He transferred to the AD Police, the department tasked with crimes concerning Boomers. Along with seasoned policewoman Gina Marceau, Leon tries to curb the violent crimes that have begun to plague MegaTokyo. However, these cases grow increasingly complicated, threatening to upend the social order with the debate of what it means to be a human.

[Written by MAL Rewrite]","Adventure, Horror, Mystery, Sci-Fi, Suspense",https://cdn.myanimelist.net/images/anime/13/2851l.jpg
1217,Bubblegum Crisis,OVA,8.0,Finished Airing,7.3,2946.0,3075,603,"The year is 2032, seven years after the Second Great Kanto Earthquake decimated Tokyo. Now, the city is reborn as MegaTokyo, built from the labors of mechanical beasts known as ""Boomers."" Originally created to benefit humanity, the mysterious corporation known as Genom now produces Boomers with incredible destructive power as a new type of advanced weaponry, capable of disguising themselves as humans.

The AD Police is a new special unit to counter the ever-increasing Boomer-related crimes. Overwhelmed by the sheer amount of crimes and disparity in strength, the AD Police poses little opposition to the Boomers. A mysterious vigilante force known as the Knight Sabers, wearing powersuits more advanced than the military, is the citizens' only hope for protection. Led by Sylia Stingray, Priscilla ""Priss"" Asagiri, Nene Romanova, and Linna Yamazaki, these beautiful girls take out any Boomer that steps out of line.

[Written by MAL Rewrite]","Adventure, Sci-Fi",https://cdn.myanimelist.net/images/anime/5/27361l.jpg
1218,Bubblegum Crash,OVA,3.0,Finished Airing,6.53,7126.0,6037,20,"The saga of the Knight Sabers continues as the group tries to find out who or what is behind the recent string of robberies, murders, and Boomer malfunctions which are somehow related to the creation of an advanced artificial intelligence. Furthermore, it seems that the Knight Sabers may be breaking up. 

(Source: ANN)","Adventure, Sci-Fi",https://cdn.myanimelist.net/images/anime/1386/145721l.jpg
1219,A.D. Police (TV),TV,12.0,Finished Airing,5.92,10709.0,6185,19,"Set a few years before Bubblegum Crisis Tokyo 2040, A.D. Police chronicles the tales of Mega-Tokyo's special police division designed to control rogue Boomers in the city. A.D. Police Officer Kenji Sasaki faces a major dilemma: he loses another partner to a rabid boomer. A day after he's sent off-duty, he receives a new partner in the form of German cop Hans Kleif. Funny thing is that Kenji sucker-punched Hans at a bar the night before. Not only does Kenji face the everyday task of controlling Boomers, he has to learn to adjust with his new partner. 

(Source: ANN)",Sci-Fi,https://cdn.myanimelist.net/images/anime/2/15440l.jpg
1220,Parasite Dolls,OVA,3.0,Finished Airing,6.55,7003.0,5004,48,"A secret unit of the AD Police, known as Branch, specializes in crimes involving humanoid robots called 'Boomers'. Branch officer Buzz must cope with having a Boomer for a partner, while officer Michaelson finds the line between human and robot to be a thin one. Together they serve to protect a world that is slowly deconstructing around them. Set in the Bubblegum Crisis universe. 

(Source: ANN)",Sci-Fi,https://cdn.myanimelist.net/images/anime/1396/103207l.jpg
1221,Angel Cop,OVA,6.0,Finished Airing,6.05,9990.0,4754,117,"Sometime in the future, terrorism in Japan has become commonplace, and the police have become almost as brutal as criminals. A member of the Special Security Force known as Angel, is the best of the best, stopping at nothing in her fight for justice.

Things get interesting for Angel and her partner, Raiden, when they begin investigating a series of murders in which the victims were known criminals, killed in very unpleasant ways. This trio of killers known as Hunters, is a group of psychics that have banded together to hunt down the lowest scum in the city and bring them to justice.

After a couple of encounters between the cops and the psychics, two of the psychics begin to think that maybe they're not the good guys after all; but the third prefers killing to morality. Augmented by cybernetics from a mysterious source, this third hunter heads out on a killing spree, with the Special Security Force as the first target. 

Even with help from the other two psychics and her newly cyborged partner (after an unfortunate accident), Angel is going to have her work cut out trying to find the rogue psychic and the organization behind the Hunters.","Action, Sci-Fi",https://cdn.myanimelist.net/images/anime/1377/110296l.jpg
1222,Cyber City Oedo 808,OVA,3.0,Finished Airing,7.2,3466.0,4125,233,"It is the year 2808. Three convicts are recruited as members of the Cyber Police to keep major criminal activity in Oedo (formerly Tokyo) in check. In return, their life sentences will be reduced by a few years for every mission accomplished. However, to ensure that these convicts are doing their job, the police have secured special collars around their necks. If they attempt to remove their collars or fail to meet the time limit of their mission, the collars will self-destruct. 

(Source: ANN)","Action, Adventure, Sci-Fi",https://cdn.myanimelist.net/images/anime/8/58763l.jpg
1223,The Urotsuki,OVA,3.0,Finished Airing,5.59,,9772,4,"An immortal beast-man of supernatural lusts, Amano Jaku escapes prison to gratify his appetites at Meishin College. But the campus is not just a hotbed of luscious coeds – it’s the breeding ground of a hideous monster! The Ultra God is Amano Jaku’s nemesis, a vile killing machine, and the ancient harbinger of the coming apocalypse. Now, immortals will clash in a battle that will bathe the Earth in innocent blood!

(Source: AniDB)","Adventure, Horror, Supernatural, Hentai",https://cdn.myanimelist.net/images/anime/1971/119708l.jpg
1224,Makyuu Senjou,OVA,2.0,Finished Airing,4.82,13991.0,13542,0,"When computer genius Joe Takami hacks into a top secret computer system in search of information on a mysterious girl, he gets much more than he bargained for. Now, after uncovering evidence of a secret government experiment, he's running for his life, and everyone, including his best friend and his personal computer, has turned against him. As a ruthless team of high-tech ninja follows his trail, Joe must depend upon the unpredictable powers that lie within him in order to survive. Can he find a way to evade the government assassins before they terminate the human genetic experiment named Joe Takami. 

(Source: ANN)","Action, Sci-Fi",https://cdn.myanimelist.net/images/anime/8/61777l.jpg
1225,Hokuto no Ken 2,TV,43.0,Finished Airing,7.57,1782.0,4260,159,In the second series after Raoh has been defeated by Kenshiro a new rival appears. The Gentou Kouken warriors. Falco the successor of the Gentou Kouken takes orders from an evil ruler by the name of Jacko. He claims to be the man chosen by the Tentei and issues orders to his subordinates to capture anyone living in order to build up his Imperial Capital. Kenshiro once again rises out of the shadows and puts an end to his tyrannical ways. Amidst the mayhem Lynn gets captured and gets taken to the land of the Shura where only ruthless fighters exist. Now Kenshiro must pursue the captor and defeat the 3 Rasho of the land in order to escape with his life and with Lynn.,"Action, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/1912/106020l.jpg
1226,Shin Hokuto no Ken,OVA,3.0,Finished Airing,6.92,4867.0,5805,21,"In a post-apocalyptic Earth, the water has become entirely toxic, except for some kept safe in a reservoir. A fortified zone has been created by a man named Sanga, he calls it The Lastland. A group of villagers have discovered safe water, and Sanga wants it. He and his band of killers go to kill everyone and steal it. As they do a mysterious man appears out of nowhere, instantly killing some of Sanga's men. His name is Kenshiro, and he can beat any man with his martial art, Hokuto Shin Ken. Sanga will do anything for the water, and Kenshiro will do anything to try and stop him.

(Source: ANN)","Action, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/6/2901l.jpg
1227,Hokuto no Ken Movie,Movie,1.0,Finished Airing,7.21,3454.0,5031,135,"Following a cataclysmic nuclear war, the world teeters on the brink of complete destruction. Civilization is polarized into a degenerate society where opposing packs of marauding scavengers prey on helpless, homeless nomads. For those who are lucky enough to survive the constant brutality and danger, it is a bleak existence. Life an death blur into abstractions. The only hope left for mankind is to find a hero worthy of becoming the next ""Fist of the North Star"" - an enlightened warrior - who is capable of leading those with the will to survive out of this barrenness into a new world. But in this savage no-man's land of shifting loyalties and power-hungry demi-gods, heroes are in short supply. 

(Source: AniDB)","Action, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/2/25067l.jpg
1228,Nikutai Teni,OVA,2.0,Finished Airing,6.25,,6582,37,"Kenichi and several of his friends stay after school to look at a new archaeological find, a bizarre looking mirror. Suddenly, the entire building is transported to an alternate dimension and a magic field surrounds it to prevent them from escaping. Also, their minds have switched to other people's bodies. The only way to switch bodies is when their sexual emotions are high. Kenichi must find a way to return everything back to normal before the dimension falls apart.

(Source: ANN)",Hentai,https://cdn.myanimelist.net/images/anime/1724/113147l.jpg
1229,Makai Tenshi Djibril,OVA,4.0,Finished Airing,6.42,,7142,27,"One hot summer day, Naoto Kamino finally musters up the courage to reveal his true feelings for his crush, Manabe Rika. Unfortunately, at the same moment, a young boy named Asumo appears (though he refers to himself as the devil). He plots to kidnap Rika and will stop at nothing to obtain her - but Rika has a little secret of her own, she can transform and obtain magical powers during sex...",Hentai,https://cdn.myanimelist.net/images/anime/12/37381l.jpg
1230,Final Fantasy: The Spirits Within,Movie,1.0,Finished Airing,6.29,8611.0,2831,55,"The year is 2065, and the planet of Earth is far removed from the place that it was in the past. Deadly alien creatures known as Phantoms have appeared all over the planet, and mere contact with these entities is lethal, whether it be an instant death or a prolonged decline. In order to try and salvage what little of the human race is left, large force-field barriers have been constructed around certain cities to repel the Phantoms.

Seeking a more permanent solution to this invasion are scientists Aki Ross and her mentor, Dr. Sid, whose investigations have revealed that there exists a form of spiritual, Gaia energy that can eradicate the Phantom's presence from this world. Aki and Sid aren't alone in their quest through Final Fantasy: The Spirits Within; the human council and the military squad ""Deep Eyes"" are ready to help. Not everyone is convinced of this plan though.

Aki, Sid, Grey, and their allies have to band together against forces both alien and human if they are to have any chance at restoring peace to Earth. An enemy whose mere touch is fatal, the Phantoms appear the more dangerous enemy, but as they will come to find out, their human nemeses are also not to be trifled with.",Sci-Fi,https://cdn.myanimelist.net/images/anime/9/51625l.jpg
1231,Street Fighter II Movie,Movie,1.0,Finished Airing,7.17,3674.0,4190,169,"Get your quarters ready, because the world's top fighters are about to go head to head in this explosive animated adaptation of the classic Street Fighter II arcade game! M. Bison's plan to crush those who would oppose his organization, Shadowloo, is simple: brainwash the strongest martial artists around with his dreaded psycho power, and turn them into living weapons! To stop him, Interpol agent Chun-Li must team up with Major Guile of the United States Air Force, but that's no small feat.

They'll have to put aside their differences and learn to work together, and fast. Bison is closing in on Ryu, a traveling vagabond said to be the best fighter in the world. Fortunately (or not), Ryu is a hard man to find, but the same can't be said of his eternal rival, Ken. And it might just be through Ken that Bison will get what he wants! Can the World Warriors beat Bison to the punch?

(Source: Discotek)",Action,https://cdn.myanimelist.net/images/anime/8/76411l.jpg
1232,Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha,Movie,1.0,Finished Airing,8.02,666.0,2948,106,"On a rainy afternoon, the Detective Boys witness a murder across the street. Barred by traffic, the culprit slips away and Conan Edogawa is left a single clue by a dying detective. Days later, another detective is found murdered in a parking lot, leaving the police rattled. Suspicious that the culprit is one of their own, everyone in the police department without an alibi is suspect. But despite being on high alert, they are outmaneuvered and suffer yet another attack—this time with Ran Mouri finding herself in the crossfire.

Traumatized, Ran wakes in the hospital with retrograde amnesia, remembering nothing about her life. Soon released, she struggles to remember her past and grows fearful of not regaining her memories before being targeted by the killer for what she witnessed. As she is guarded by friends and family, it is up to Conan to piece together the clues and find who the murderer is before they strike again.

[Written by MAL Rewrite]","Adventure, Comedy, Mystery",https://cdn.myanimelist.net/images/anime/1196/94319l.jpg
1233,Meitantei Conan Movie 05: Tengoku e no Countdown,Movie,1.0,Finished Airing,8.11,535.0,2916,71,"Conan Edogawa, the Detective Boys, and Professor Hiroshi Agasa decide to visit the Nishitamashi Twin Towers. There they run into Ran Mouri; her closest friend, Sonoko Suzuki; and Ran's father, the famous Kogorou. Learning the trio are attending the towers' grand opening, Conan and company tag along for a private tour of its floors.

However, as preparations are finalized for the opening ceremony, their visit takes an unexpected turn—three brutal murders occur, seemingly linked to a mysterious Porsche 356A. Soon after, as Conan and the detectives dive deeper into the case, the towers are rocked by an explosion. With fire rapidly spreading and lives in danger, police desperately seek to evacuate everyone. But when the elevator, their only means to escape goes down, Conan and company are left behind. With help on its way, they frantically try to keep everyone safe, but time is running out if they want to bring the perpetrators to justice.

[Written by MAL Rewrite]","Adventure, Comedy, Mystery",https://cdn.myanimelist.net/images/anime/1144/92654l.jpg
1234,Meitantei Conan Movie 06: Baker Street no Bourei,Movie,1.0,Finished Airing,8.29,312.0,2599,286,"The latest innovation in virtual reality gaming is set for a private showcase, with the children of Japan's elite given the opportunity to playtest it. Unfortunately, their carefree fun is cut short when a company employee is found murdered, his dying message pointing to a clue hidden within the game's historical setting.

Along with the Detective Boys and Ran Mouri, Conan Edogawa enters the game to solve this mystery and ensure the perpetrator is caught. But once they load in, an artificial intelligence named Noah's Ark imprisons them and the other children within. To escape and bring the murderer to justice, Conan and company must navigate a simulated 19th-century London and track down the infamous Jack the Ripper—with the lives of 50 innocent children depending on them.

[Written by MAL Rewrite]","Adventure, Mystery",https://cdn.myanimelist.net/images/anime/1400/94320l.jpg
1235,Meitantei Conan Movie 07: Meikyuu no Crossroad,Movie,1.0,Finished Airing,7.78,1141.0,3244,40,"Under the cover of darkness, a masked samurai murders five men across the metropolis of Japan: three in Tokyo, one in Osaka, and the last in Kyoto. In their investigation, the police learn that each man was a member of the Genjibotaru—a thieves gang centered on the theft of Buddhist statues and artifacts and who go by the names of Minomoto no Yoshitune's servants.
 
Without a clear motive or clues to the other members' identities, the case runs dry until a Kyoto temple calls for the famous Kogorou Mouri. Having received an anonymous letter containing a peculiar puzzle, the temple monks ask for his assistance in solving it to recover their long lost statue. Meanwhile, Conan Edogawa and high school detective Heiji Hattori team up in order to solve the cryptic puzzle and find the murderer, as Hattori searches for his childhood love.
 
With Hattori's knowledge of Kyoto, the two scour the streets and gradually discover the truth, but not before the murderer strikes again—killing another Genjibotaru member and, after repeated attempts on Hattori's life, eventually kidnapping Hattori's childhood sweetheart. It is only by working together to bring buried clues to light can Conan and Hattori hope to end the rogue samurai's bloodshed and save Hattori's love.
 
[Written by MAL Rewrite]","Adventure, Comedy, Mystery",https://cdn.myanimelist.net/images/anime/10/20984l.jpg
1236,Meitantei Conan Movie 08: Ginyoku no Magician,Movie,1.0,Finished Airing,8.05,625.0,3105,49,"After receiving a letter from the thief Kaitou Kid, famous actress Juri Maki seeks the help of private detective Kogorou Mouri to protect the Star Sapphire—the ""Jewel of Destiny,"" said to represent faith, fate, and hope. Thinking he has deciphered Kid's riddle, Kogorou personally shows up to the newly constructed space theater where Juri is acting in the play ""Josephine"" in order to catch Kid in the act.
 
The next day, Conan and the gang are invited by Juri to her holiday home, to celebrate the thwarting of Kid's plan and the success of the play. However, their triumph crumbles when a murder occurs during the flight there. Although unintentional, this sets off a series of events that escalate to catastrophic results. Conan and Kid, unlikely allies that they are, must work together to save both their friends and every other passenger aboard the plane.
 
[Written by MAL Rewrite]","Adventure, Comedy, Mystery",https://cdn.myanimelist.net/images/anime/2/20982l.jpg
1237,Meitantei Conan OVA 06: Kieta Daiya wo Oe! Conan & Heiji VS Kid!,OVA,1.0,Finished Airing,7.36,2613.0,5714,2,"One day Mori Kogoro's private detective agency receives a blackmail call. It turns out that the caller has dialed the wrong number. Conan is able to identify the voice on the phone, it's similar to that of his old friend Heiji, who's also a high school detective but in Osaka. They join once again forces to solve the case and find the jewel which was stolen. 

But they are not the only ones who are after the jewel. The notorious master thief Kaitou Kid has taken an interest in this piece, which is worth 100,000,000 Yen, as well and now it's up to Heiji and Conan to be the first to find the culprit and acquire the jewel. 

(Source: AniDB)","Comedy, Mystery",https://cdn.myanimelist.net/images/anime/10/31137l.jpg
1238,Meitantei Conan OVA 01: Conan vs. Kid vs. Yaiba - Houtou Soudatsu Daikessen!!,OVA,1.0,Finished Airing,7.23,3330.0,5224,12,"Mitsuhiko Tsuburaya lends Conan Edogawa a massive amount of manga, which Conan starts reading, despite the overwhelming quantity. Elsewhere, Kogorou Mouri is asked by the Mine family to protect the treasured sword in their dojo, as Kaitou Kid has sent a note of his intent to steal it. Upon arriving at the dojo, Conan and the others meet Yaiba Kurogane. Together, they aim to thwart the phantom thief's plans. However, Conan begins to notice something strange about the case.

[Written by MAL Rewrite]","Adventure, Comedy, Mystery",https://cdn.myanimelist.net/images/anime/1029/125693l.jpg
1239,Atama Yama,Movie,1.0,Finished Airing,6.35,8211.0,7363,6,"After a stingy man eats some cherry seeds, a cherry tree grows on his head and he gets into a lot of trouble.","Avant Garde, Award Winning, Comedy, Fantasy, Suspense",https://cdn.myanimelist.net/images/anime/1845/112896l.jpg
1240,Hi no Tori,TV,13.0,Finished Airing,7.05,4282.0,6656,33,"From prehistoric times to the distant future, Hi no Tori portrays how the legendary immortal bird Phoenix acts as a witness and chronicler for the history of mankind's endless struggle in search of power, justice, and freedom.

1. Reimei-hen (Dawn)
2. Fukkatsu-hen (Resurrection)
3. Igyou-hen (Transformation)
4. Taiyou-hen (The Sun)
5. Mirai-hen (Future)

[Written by MAL Rewrite]","Adventure, Drama, Sci-Fi, Supernatural",https://cdn.myanimelist.net/images/anime/6/3622l.jpg
1241,Taiho Shichau zo (TV),TV,47.0,Finished Airing,7.53,1945.0,3856,261,"Tokyo Highway Patrolwomen Natsumi and Miyuki get off to a bad start when Miyuki busts Natsumi for reckless moped driving on her way to work. Things get worse when they find out they're going to be partners!

A continuation of the OVA series, the adventures of Tokyo policewomen Natsumi and Miyuki continue in the You're Under Arrest TV series. It's back to Bokuto Precinct, where demented felons and bashful (but hunky) policemen abound, and where the cutest girl in the office... isn't a girl.

(Source: Rightstuf)","Action, Comedy",https://cdn.myanimelist.net/images/anime/4/16767l.jpg
1242,Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,TV Special,4.0,Finished Airing,7.2,3462.0,8375,5,"Black Jack is the ""Surgeon with the Hands of God,"" a mysterious young Japanese doctor who travels the world performing feats of miraculous surgical genius. Though all recognize his skill, Black Jack is widely hated, especially by the medical establishment, because he refuses to conform to rules of any kind, and because he charges outrageous fees for his services. Black Jack's only companion is Pinoko, a child he created out of a special kind of tumor called a teratoma, who insists she is his wife.",Drama,https://cdn.myanimelist.net/images/anime/1879/120375l.jpg
1243,Kyoushoku Soukou Guyver (2005),TV,26.0,Finished Airing,7.22,3393.0,4905,155,"Sho Fukamachi, a normal teenager accidentally found an alien object called Unit and thus, changed his life forever. The Unit bonded with Sho, resulting in an incredibly powerful life-form called Guyver. With this great power, Sho battles the mysterious Chronos organization and it's Zoanoids, in order to protect his friends and his world. Unknown to Sho, the battle against Chronos will lead to the discovery of the origins of human, their destiny, and the Creators...

(Source: ANN)","Action, Horror, Sci-Fi",https://cdn.myanimelist.net/images/anime/6/3697l.jpg
1244,Watashi no Ashinaga Ojisan,TV,40.0,Finished Airing,7.7,1347.0,5434,165,"Daddy Long Legs is based on the novel of the same name by Jean Webster. It chronicles the adventures of Judy Abbott, an orphan in New York. During a meeting for the superintendent, with other important and rich people in attendance, a scholarship is offered to Judy by a mysterious benefactor. Catching only a glimpse of his tall shadow as he leaves, Judy calls him ""Daddy Long Legs"" and writes him letters every month as per his request. While studying at the Lincoln Memorial school, she makes many friends and learns about a world she never knew about before. 

(Source: ANN)","Comedy, Romance",https://cdn.myanimelist.net/images/anime/1969/98819l.jpg
1245,Ojamajo Doremi Na-i-sho,OVA,13.0,Finished Airing,7.83,1026.0,6259,108,"Na-i-sho is a 13 episode OAV series detailing the summer between the ~motto~ and the Dokkaan season. It is a bit more mature than the TV seasons, and looks to develop each of the five witches romantically. Hana is back to a baby, and the mahou shop is a bakery. 

(Source: ANN)",Comedy,https://cdn.myanimelist.net/images/anime/1986/99238l.jpg
1246,Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,TV,13.0,Finished Airing,6.68,6197.0,8864,8,"Maetel abandoned her mother and her home planet, the doomed and frozen La Metal, where people must become cyborgs to survive. When she is beckoned to return, her options seem slim: follow her mother's path (and with it a robot mind and the contempt of all humans), or run away and fight with humans against the machines. Yet, she is not without comrades and defenders. If she can accept the friendship of beings of metal who desire peace, and oppose those who think being made of flesh and blood is enough to make one human, she may still have a chance to find her own path.

(Source: Anime-Planet)","Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/12/6787l.jpg
1247,Sengoku Kitan Youtouden Movie,Movie,1.0,Finished Airing,5.93,10616.0,8644,7,"The year a comet races across the sky, splitting the heavens, from the depths of the Earth the dark god shall arise once again. Then, the dark evil lurking in the shadows shall come out of the depths of Hell and show itself in the present world. The emotions of the blade of the wind shall collect at the source of the blue light. And the three blades shall become one, vanquishing evil.

The year is 1580, and the unholy armies of Lord Nobunaga Oda steadily spread across Japan. Narrowly escaping the slaughter of her clan, a young ninja steals into the shadows. She is Ayame, the last of the Kasumi clan, and the dagger she wields is one of three, mystical blades. She is joined by Sakon and Ryoma, renegade ninja and the possessors of the sacred sword and spear. Now, these shadow warriors must unite their weapons and skills to fulfill `The Prophesy of the Enchanted Swords` or die trying..

(Source: AniDB)",Action,https://cdn.myanimelist.net/images/anime/1358/97131l.jpg
1248,Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,Movie,1.0,Finished Airing,7.73,1278.0,3105,52,"After running away from the grim future that awaited her back in her home country, a young girl takes upon a new name and identity—inspired by the man who sacrificed his life to help her escape. Alongside her newfound companion, a talking motorcycle, the two find themselves a new home in the forest—where lives an elderly woman with an expertise in guns. Under the woman's care, the girl is trained in marksmanship and motorcycle handling among other various skills needed to survive.

Although the girl is happy with her current life, her guilt regarding her savior's death continues to build within herself. She still feels responsible for her savior's death, and considers the consequences of using his name as her own. In doing so, she is denying her own identity and existence by trying to replicate another person's life, instead of living her own.

Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On. follows the journey of a young girl as she begins to come to terms with her new identity.

[Written by MAL Rewrite]","Adventure, Drama, Fantasy",https://cdn.myanimelist.net/images/anime/5/73888l.jpg
1249,Blue Gender: The Warrior,Movie,1.0,Finished Airing,6.19,9204.0,6491,8,"It is a time of chaos. Earth is no longer what it used to be. It has been infested with a bug like species called the Blue. 20 years ago Yuji Kaido, who has a mysterious disease, is put into suspended animation until a cure is found. When he wakes up Yuji learns that it’s been more than 20 years since he was put into suspended animation, and the world is now controlled by these creatures. He then decides to join a group of soldiers fighting against the Blue for hope of a better future.

(Source: ANN)","Adventure, Drama, Horror, Sci-Fi",https://cdn.myanimelist.net/images/anime/4/15774l.jpg
1250,Seikai no Monshou Special,TV Special,1.0,Finished Airing,7.11,4022.0,10019,2,A compilation of the Seikai no Monshou series with additional footage.,"Action, Romance, Sci-Fi",https://cdn.myanimelist.net/images/anime/9/2753l.jpg
1251,Yuusha-Ou GaoGaiGar Final,OVA,8.0,Finished Airing,8.09,565.0,6373,197,"Following Gutsy Galaxy Guard's victory over the Zonder Empire and the 31 Primevals, a new threat makes their appearance on Earth. GGG—with Guy Shishio and the newly-constructed GaoFighGar—team up with their French counterpart Chasseur to battle the evil organization BioNet. Among Chasseur's ranks is Renais Cardiff Shishioh, a former BioNet cyborg with the relentless pursuit of destroying those who took away her humanity. But as GGG and Chasseur fight the BioNet, GGG's bases around the world are suddenly attacked, and the recently-discovered ""Q-Parts"" and the original Gao Machines are stolen by Mamoru Amami, who has been abducted and cloned by an even greater threat known as the ""Eleven Kings of Sol."" Evicted from Earth by the United Nations, GGG must now travel to the far reaches of the galaxy to battle the Eleven Kings of Sol and save Mamoru before it's too late.

(Source: ANN, edited)","Adventure, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/1187/132740l.jpg
1252,Yuuwaku Countdown,OVA,6.0,Finished Airing,5.79,,10169,12,"From famed adult comic artist Hiroyuki Utatane come six of the most erotic, the most exotic, the most unusual and just downright odd stories ever animated.

In Alimony Hunter we see Jun in an extremely unusual three-for-all in which not everyone is what he (or she!) seems. She also makes an appearance as a teacher in Cherry Lips (under an alias). It all comes to conclusion in Virgin Road, there perhaps too-willing bride is having a last minute fling with her in the back room of the chapel; the groom is also not a stranger to Jun...

Then there's a manly knight who discovers the joys of bondage at the hands of a fair maiden; and a Samurai policewoman forced to tackle a giant walking statue, controlled by a sex-crazed megalomaniac, before it destroys Tokyo.
Crimson is a bloody story of a man and his blind love slave.

(Source: AniDB)","Comedy, Fantasy, Horror, Supernatural, Hentai",https://cdn.myanimelist.net/images/anime/9/50035l.jpg
1253,Kyuuketsuhime Miyu,OVA,4.0,Finished Airing,6.93,4840.0,4919,87,"When spiritualist Himiko Se is hired to investigate a recent slew of murders whose victims were completely drained of blood, she does not expect to encounter a real vampire. However, Miyu Yamano is exactly that, as well as being a guardian between the dark realm of the Shinma and the human world. As creatures with godlike demonic power, Shinma terrorize innocent people, and one in particular has been masquerading as a member of the noble vampire race. As Himiko continues her investigation, she has trouble believing that Miyu is truly innocent, and fails to understand why a vampire would protect humans from Shinma.

[Written by MAL Rewrite]","Action, Drama, Horror, Supernatural",https://cdn.myanimelist.net/images/anime/12/78948l.jpg
